NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 9.2 9.7 9.8 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 8.4 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 8.5 8.3 9.1 9.7 10.1 10.1 9.9 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 8.8 8.6 NaN NaN 8.8 8.6 8.9 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN 9.5 9.2 9.2 10 10.1 10.3 10 10.2 10.1 10.2 NaN NaN NaN NaN 10.1 10 NaN NaN NaN 9.4 9.1 8.8 8.4 8.5 8.6 8.7 9 8.8 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN 9.8 9.9 9.8 10.1 10.2 10.2 10.1 10.2 10.2 10 10.1 NaN NaN 10.2 10.3 10.3 10.2 10.3 10.2 9.9 9.5 9.4 9 8.7 8.6 8.7 8.7 8.7 8.4 8.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN 10.1 10.3 10.3 10.5 10.4 10.2 10.3 10.2 10 10 10.3 10.6 10 10.2 10.4 10.5 10.5 10.3 9.9 10 10 10 9.9 9.7 9.3 8.9 8.5 8.1 8.6 8.7 8.7 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 10.8 10.9 10.4 10 10.1 10.1 10.4 10.5 10.6 10.4 10.5 10.4 10.7 10.8 10.7 10.5 10.6 10.8 10.4 10.3 10.4 10.7 10.6 10 9.5 9.6 9.5 9.7 10 9.9 9.7 9 8 7.9 8.4 8.6 8.8 8.8 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 11.5 10.9 10.4 9.8 9.8 10 10.5 10.4 10.8 10.5 10.4 10.6 10.7 10.8 10.9 10.8 10.3 10.1 10.2 10.6 10.7 10.8 10.6 10.2 9.5 9.7 9.9 9.6 9.7 9.9 9.9 9.3 8.6 8.6 8.7 8.4 8.4 8.9 9 8.6 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN 11 10.4 9.9 9.9 10.3 10.9 10.6 10.6 10.7 10.6 10.7 10.7 10.9 10.9 10.7 10.1 10.1 10.3 10.5 10.6 10.7 10.8 10.2 9.6 9.8 9.9 9.9 9.6 9.4 9.6 9.6 9.4 9.4 9.1 8.8 9.2 9.2 9.1 8.9 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN 11 10.6 NaN NaN NaN NaN 10.5 10.6 10.5 10.9 10.7 10.8 11.1 11 10.6 10 10.2 10.3 10.5 10.6 10.7 10.7 10.7 10.2 10.1 9.8 9.8 9.6 9.6 9.3 9.4 9.6 9.6 9.5 9.1 9.3 9.4 9.1 8.4 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
