"NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "13.6" "13" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.8" "13.1" "13.1" "13" "13.1" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.5" "12.7" "12.5" "12.5" "12.6" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12" "12" "12.1" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12" "11.9" "12.3" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.4" "12.2" "12.2" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "13" "12.6" "12.5" "12.2" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.6" "12.7" "12.5" "12.7" "12.5" "12" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.6" "12.7" "12.9" "12.8" "12.5" "12" "11.7" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "12.1" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.6" "12.8" "12.7" "12.6" "12.6" "12" "11.4" "10.6" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "12" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.8" "12.8" "13" "12.7" "12.5" "12.7" "12.6" "12.3" "11.4" "10.4" "NaN" "NaN"
"NaN" "NaN" "NaN" "10.2" "11.3" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.9" "13" "12.8" "12.8" "12.7" "12.6" "12.4" "12.4" "12.1" "11.3" "NaN" "NaN"
"NaN" "NaN" "NaN" "9" "10.7" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.3" "12.4" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.8" "13.1" "12.9" "12.8" "12.8" "12.8" "12.4" "12.4" "12.2" "11.8" "11.4" "NaN"
"NaN" "NaN" "8.8" "9.6" "11" "10.6" "11.5" "12" "12.3" "12.2" "12.3" "12.2" "12.2" "12.3" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.3" "12.5" "12.4" "12.7" "12.9" "13.2" "13.3" "13.1" "13" "13" "12.4" "12.3" "12.4" "12.3" "11.8" "NaN"
"NaN" "8.8" "10.5" "11.3" "11.7" "11.8" "12.1" "11.8" "12" "12.2" "12.2" "12.3" "12.3" "12.4" "12.5" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "12.3" "12.2" "12.2" "12.4" "12.6" "12.6" "12.8" "13.1" "13" "13.1" "12.9" "12.2" "12.3" "12.2" "12.3" "12" "NaN"
"NaN" "NaN" "6.6" "9.1" "10.4" "11.6" "11.7" "11.4" "11.9" "12.2" "12.1" "12.2" "12.3" "12.3" "12.4" "12.6" "12.4" "NaN" "NaN" "NaN" "NaN" "NaN" "12.2" "12.2" "12.3" "12.3" "12.6" "12.8" "12.7" "12.6" "12.7" "12.9" "12.9" "12.7" "12.2" "12.3" "12.4" "12.1" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "10.8" "11.2" "11.3" "11.8" "12.2" "12.3" "12.3" "12.3" "12.4" "12.4" "12.6" "12.5" "NaN" "NaN" "NaN" "NaN" "12.2" "12.3" "12.3" "12.4" "12.3" "12.5" "12.9" "12.7" "12.5" "12.2" "12.3" "12.5" "12.8" "12.4" "12.2" "12.2" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "10.2" "11" "11.5" "11.4" "11.8" "12.1" "12.2" "12.2" "12.3" "12.3" "12.3" "12.6" "12.6" "12.2" "12.2" "12.5" "12.5" "12.3" "12.3" "12.4" "12.3" "12.3" "12.4" "12.6" "12.8" "12.4" "12.4" "12.3" "12.3" "13" "12.8" "12.3" "12.3" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "10.9" "11.2" "11.6" "11.7" "12.1" "12.3" "12.2" "12.2" "12.3" "12.5" "12.4" "12.6" "12.7" "12.4" "12.3" "12.6" "12.5" "12.4" "12.3" "12.5" "12.4" "12.4" "12.6" "12.5" "12.8" "12.6" "12.5" "12.5" "12.4" "12.6" "12.2" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "11.1" "11.2" "11.2" "11.5" "12" "12.2" "12.3" "12.2" "12.2" "12.5" "12.4" "12.6" "12.7" "12.6" "12.4" "12.4" "12.2" "12.1" "12.5" "12.5" "12.4" "12.6" "12.6" "12.6" "12.7" "12.8" "12.7" "12.7" "12.7" "12.5" "12.4" "NaN" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "10.5" "11.3" "11.1" "11.3" "11.9" "12.2" "12.3" "12.4" "12.3" "12.5" "12.5" "12.6" "12.7" "12.8" "12.2" "12.1" "11.9" "12" "12.5" "12.4" "12.5" "12.6" "12.7" "12.7" "12.7" "12.9" "12.8" "12.8" "12.8" "12.6" "12.5" "12.4" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "8.6" "11.1" "11.5" "11.6" "12.1" "12.3" "12.3" "12.4" "12.5" "12.6" "12.7" "12.8" "12.8" "12.8" "12.3" "12.1" "12.1" "12.5" "12.4" "12.5" "12.6" "12.6" "12.8" "12.8" "12.8" "12.9" "12.9" "12.9" "13" "12.8" "12.7" "12.4" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "7.9" "8.7" "10.8" "11.5" "11.8" "11.9" "12.1" "12.3" "12.5" "12.6" "12.7" "12.7" "12.7" "12.7" "12.9" "12.4" "12.1" "12.3" "12.5" "12.6" "12.6" "12.7" "12.7" "12.9" "13" "13" "12.8" "12.9" "13" "12.8" "12.8" "12.6" "12.5" "12.3" "NaN" "NaN" "NaN"
"NaN" "NaN" "6.9" "7.8" "9.8" "11.1" "11.7" "11.9" "12.1" "12.3" "12.4" "12.4" "12.6" "12.7" "12.6" "12.7" "12.7" "12.8" "12.6" "12.4" "12" "12" "12.6" "12.8" "12.8" "13" "13" "13" "12.9" "13" "12.9" "12.4" "12.4" "12.2" "12.5" "12.4" "12.2" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "10.5" "10" "11.9" "12.4" "12.6" "12.7" "12.7" "12.6" "12.6" "12.6" "12.7" "12.8" "12.9" "13" "12.8" "12.6" "12.4" "12" "11.9" "12.3" "12.8" "12.9" "12.9" "13" "12.7" "12.8" "12.8" "12.4" "11.8" "11.7" "11.7" "12.1" "12.5" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "8" "11.4" "12.1" "12.2" "12.4" "12.1" "12.5" "12.6" "12.6" "12.7" "12.7" "12.7" "12.9" "13.1" "13.1" "12.8" "12.5" "12.1" "12.1" "12.4" "12.7" "12.7" "12.8" "12.8" "12.7" "12.6" "12.1" "12.3" "12" "11.9" "11.8" "12.2" "12.4" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "9.6" "9.6" "11.9" "12.2" "12.4" "12.3" "12.3" "12.6" "12.7" "12.7" "12.8" "12.7" "12.9" "13.1" "13.1" "13" "12.6" "12.3" "12.2" "12.5" "12.6" "12.5" "12.6" "12.6" "12.7" "12.2" "11.9" "12" "12" "12.1" "11.7" "12.3" "12.2" "NaN" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "8.3" "10.5" "12.3" "12.4" "12.2" "12.3" "12.4" "12.6" "12.8" "12.8" "12.8" "12.7" "12.8" "13" "13.1" "13.1" "12.6" "12.5" "12.4" "12.2" "12.6" "12.4" "12.4" "12.3" "12.5" "11.9" "11.7" "12" "12.1" "11.8" "11.9" "12.3" "11.8" "11.7" "11.1" "10.6" "NaN"
"NaN" "NaN" "NaN" "NaN" "9.7" "10" "12.2" "12.4" "12.3" "12.3" "12.6" "12.7" "12.8" "12.8" "12.8" "12.8" "13" "13.2" "13.1" "12.5" "12.2" "12.4" "12.3" "12.5" "12.4" "12.2" "11.9" "12.4" "11.9" "11.9" "11.8" "11.8" "11.9" "12.2" "12.1" "11.6" "11.3" "10.9" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "10.6" "10.5" "11.8" "12" "12" "12.3" "12.6" "12.7" "12.8" "12.8" "12.8" "12.8" "13" "13.2" "13.1" "12.6" "12.3" "12.4" "12.2" "12.1" "11.9" "11.7" "11.8" "12" "12.1" "12" "11.7" "11.6" "12.1" "12.1" "11.9" "11.2" "11" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "10" "11.6" "11.6" "12" "12.4" "12.6" "12.7" "12.8" "12.8" "12.8" "12.8" "12.9" "13.1" "13.1" "12.8" "12.5" "12.4" "12.2" "12" "11.9" "11.9" "11.7" "12" "11.8" "12" "11.5" "11.8" "12" "11.9" "11.5" "10.9" "10.6" "NaN" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "9.6" "11.3" "11.7" "12.1" "12.4" "12.6" "12.7" "12.8" "12.9" "12.8" "12.7" "12.7" "12.9" "13.2" "12.9" "12.6" "12.2" "12" "12" "11.9" "12" "11.9" "12" "11.9" "11.7" "11.6" "11.8" "11.5" "11.2" "11.2" "10.8" "10.8" "11" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "10" "11.3" "11.8" "12.2" "12.4" "12.6" "12.7" "12.9" "13" "12.9" "12.8" "12.8" "12.9" "13" "13" "12.4" "12.1" "12.2" "12" "12.1" "12" "12.2" "12.3" "12.1" "11.9" "11.8" "11.6" "10.8" "10.2" "10.7" "11" "10.8" "10.8" "NaN" "NaN"
"NaN" "NaN" "NaN" "NaN" "NaN" "9.2" "11.2" "12.2" "12.5" "12.4" "12.6" "12.7" "12.9" "13.1" "13.1" "12.9" "12.7" "12.8" "13" "12.9" "12.5" "12.3" "12.2" "12.3" "12.3" "12.1" "12.4" "12.1" "12" "12" "11.8" "11.6" "10.8" "10.1" "10.4" "11" "11" "11.1" "NaN" "NaN"
